id,hsk_level,word,pinyin,pos_zh,pos_en,pos_th,trans_en,trans_th,example_zh,example_th,example_en
1,1,爱,ài,动,v.,กริยา,to love; to be fond of,รัก / ชอบ,我爱我的家人。,ฉันรักครอบครัวของฉัน,I love my family.
2,1,吧,ba,助,part.,อนุภาค (คำช่วยทางไวยากรณ์),modal particle (suggestion/assumption),(อนุภาคบอกความไม่แน่ใจ / ข้อเสนอ),我们走吧。,เราไปกันเถอะ,Let's go.
3,1,八,bā,数,num.,ตัวเลข,eight; 8,แปด,我有八本书。,ฉันมีหนังสือแปดเล่ม,I have eight books.
4,1,爸爸,bàba,名,n.,คำนาม,father,พ่อ,我爸爸是老师。,พ่อของฉันเป็นครู,My father is a teacher.
5,1,百,bǎi,数,num.,ตัวเลข,hundred; numerous,ร้อย,这本书一百块钱。,หนังสือเล่มนี้ราคาหนึ่งร้อยหยวน,This book costs one hundred yuan.
6,1,白天,báitiān,名,n.,คำนาม,daytime; during the day,กลางวัน,白天我去上班。,กลางวันฉันไปทำงาน,I go to work during the daytime.
7,1(4),半,bàn,数、（副）,adv. / num.,ตัวเลข / (คำวิเศษณ์),half; semi-,ครึ่ง,现在是三点半。| 我喝了半杯水。,ตอนนี้สามโมงครึ่ง | ฉันดื่มน้ำไปครึ่งแก้ว,It is half past three. | I drank half a glass of water.
8,1,包子,bāozi,名,n.,คำนาม,steamed stuffed bun,ซาลาเปาไส้ต่างๆ นึ่ง,我早上吃包子。,เช้านี้ฉันกินซาลาเปา,I eat steamed buns in the morning.
9,1,杯子,bēizi,名,n.,คำนาม,cup; glass,ถ้วย,这个杯子是我的。,แก้วใบนี้เป็นของฉัน,This cup is mine.
10,1,本1,běn,量,meas.,ลักษณนาม,measure word (for books),(ลักษณนามสำหรับหนังสือ),我买了一本书。,ฉันซื้อหนังสือหนึ่งเล่ม,I bought one book.
11,1,边,biān,名、后缀,n. / suff.,คำนาม / คำต่อท้าย,side; edge,ด้านข้าง,学校在河边。| 左边有一家店。,โรงเรียนอยู่ริมแม่น้ำ | ด้านซ้ายมีร้านค้า,The school is by the river. | There is a shop on the left side.
12,1,病,bìng,名、动,n. / v.,คำนาม / กริยา,illness,ป่วย,他生病了，不能来。| 医生在看病。,เขาป่วยจึงมาไม่ได้ | หมอกำลังตรวจคนไข้,He is sick and cannot come. | The doctor is seeing patients.
13,1,不,bù,副,adv.,คำวิเศษณ์,not; no,ไม่,我不喜欢吃辣。,ฉันไม่ชอบกินเผ็ด,I don't like eating spicy food.
14,1,不客气,bú kèqi,-,-,-,you're welcome; don't mention it,ด้วยความยินดี,谢谢你！不客气。,ขอบคุณ! ด้วยความยินดี,Thank you! You're welcome.
15,1,不要,búyào,副,adv.,คำวิเศษณ์,don't!; must not,ไม่ต้องการ,不要在这里跑。,อย่าวิ่งที่นี่,Don't run here.
16,1,菜,cài,名,n.,คำนาม,dish; vegetable,ผัก,这道菜很好吃。| 妈妈买了很多菜。,อาหารจานนี้อร่อยมาก | แม่ซื้อผักมาเยอะ,This dish is very delicious. | Mom bought a lot of vegetables.
